City;CODIGO;production_value;soy_production;average_yield;number_of_establishments
Santa Cecília do Sul;4316733;36000;28800;3.6;326
Santa Clara do Sul;4316758;2287;1925;3.5;59
Santa Cruz do Sul;4316808;14681;11220;3.3;81
Santa Margarida do Sul;4316972;102960;93600;2.6;117
Santa Maria;4316907;198770;157904;3.2;323
Santa Maria do Herval;4316956;40;36;3;0
Santana da Boa Vista;4317004;87360;58240;2.6;38
Santana do Livramento;4317103;95580;81000;1.8;418
Santa Rosa;4317202;77011;64350;3.3;800
Santa Vitória do Palmar;4317301;53403;48372;2.32;44
Santiago;4317400;180351;144444;3.17598944591029;308
Santo Ângelo;4317509;142705;131340;3.29172932330827;741
Santo Antônio da Patrulha;4317608;11400;11400;3;34
Santo Antônio das Missões;4317707;165249;132200;3.00454545454545;180
Santo Antônio do Palma;4317558;14042;11725;3.35;189
Santo Antônio do Planalto;4317756;74222;61125;4.20103092783505;263
Santo Augusto;4317806;156768;126630;3.78;408
Santo Cristo;4317905;36305;30336;3.00059347181009;542
Santo Expedito do Sul;4317954;26882;22272;3.48;346
São Borja;4318002;180960;156000;2.6;256
São Domingos do Sul;4318051;5704;5093;2.99588235294118;133
São Francisco de Assis;4318101;164160;135000;3;336
São Francisco de Paula;4318200;13020;18600;3;26
São Gabriel;4318309;300334;254520;2.52;498
São Jerônimo;4318408;14000;11200;2.8;31
São João da Urtiga;4318424;25870;22187;3.60003245172805;396
São João do Polêsine;4318432;1851;1485;3.3;42
São Jorge;4318440;10562;8928;3.72;137
São José das Missões;4318457;15701;12870;3.3;247
São José do Herval;4318465;827;732;3.05;15
São José do Inhacorá;4318499;6103;5100;3;179
São José do Ouro;4318606;86436;70560;3.6;497
São Lourenço do Sul;4318804;44802;36000;1.2;492
São Luiz Gonzaga;4318903;318761;265634;3.29366398016119;530
São Martinho;4319109;35078;38976;3.36;271
São Martinho da Serra;4319125;140587;113112;3.60688775510204;105
São Miguel das Missões;4319158;303120;252600;3.32368421052632;487
São Nicolau;4319208;61613;49290;2.95149700598802;118
São Paulo das Missões;4319307;14090;11340;2.52;255
São Pedro das Missões;4319364;21472;17600;3.2;178
São Pedro do Butiá;4319372;18900;15120;3.6;197
São Pedro do Sul;4319406;49673;39951;3.07315384615385;223
São Sepé;4319604;140631;113070;1.81347233360064;372
São Valentim;4319703;13464;11220;3.3;245
São Valentim do Sul;4319711;4421;3895;4.1;62
São Valério do Sul;4319737;22627;18255;3.30407239819004;213
São Vicente do Sul;4319802;100101;82320;2.94;119
Sarandi;4320107;85597;73110;3.9096256684492;594
Seberi;4320206;41629;35550;2.71374045801527;354
Sede Nova;4320230;20088;22320;3.6;205
Segredo;4320263;17640;18000;3.6;239
Selbach;4320305;66941;50218;3.83929663608563;427
Senador Salgado Filho;4320321;31648;26445;3.30149812734082;386
Sentinela do Sul;4320354;1115;972;1.215;21
Serafina Corrêa;4320404;13280;11700;3.9;223
Sério;4320453;26;21;3.5;1
Sertão;4320503;175193;146250;4.5;602
