City,CODIGO,production_value,soy_production,average_yield,number_of_establishments
Cruzeiro do Sul,4306205,8558,8376,3.41738066095471,186
Cândido Godói,4304309,26151,26814,3.07359009628611,623
David Canabarro,4306304,24956,23017,3.572404159553,407
Derrubadas,4306320,16756,17250,3.02207428170988,252
Dezesseis de Novembro,4306353,6293,6260,3.047711781889,49
Dilermando de Aguiar,4306379,57568,54709,3.20160346441948,93
Dois Irmãos das Missões,4306429,47076,46756,3.62393427375601,113
Dois Lajeados,4306452,4395,4346,3.62166666666667,111
Dom Feliciano,4306502,2693,2551,2.36641929499072,19
Dom Pedrito,4306601,291356,269320,2.90958590365481,233
Dona Francisca,4306700,1548,1501,3.15336134453781,54
Doutor Maurício Cardoso,4306734,31299,31885,2.69937351845581,526
Doutor Ricardo,4306759,804,777,3.45333333333333,24
Eldorado do Sul,4306767,4434,4425,2.86407766990291,10
Encantado,4306809,1199,1162,3.40762463343109,32
Encruzilhada do Sul,4306908,72308,67618,2.85344136388572,176
Engenho Velho,4306924,11792,11163,3.77894380501016,92
Entre Rios do Sul,4306957,14689,14225,3.57053212851406,168
Entre-Ijuís,4306932,82205,84463,3.08980831138426,598
Erebango,4306973,38024,35352,3.87971905179982,256
Erechim,4307005,59298,55877,3.72761841227485,612
Ernestina,4307054,57508,53429,3.66177780823795,382
Erval Grande,4307203,8564,8455,3.6024712398807,111
Erval Seco,4307302,36408,35511,3.32095763583653,382
Esmeralda,4307401,74021,69282,3.45528901301681,150
Esperança do Sul,4307450,10030,10166,2.80209481808159,198
Espumoso,4307500,165580,161089,3.55683373813204,867
Estação,4307559,20796,19565,3.88734353268428,186
Estrela,4307807,5407,5259,3.43276762402089,121
Estrela Velha,4307815,39314,38894,3.61737351190476,312
Eugênio de Castro,4307831,82563,80147,3.27344388171867,281
Fagundes Varela,4307864,4693,4555,3.84064080944351,77
Faxinal do Soturno,4308003,6501,6251,3.08082799408576,192
Faxinalzinho,4308052,16892,16066,3.91853658536585,156
Fazenda Vilanova,4308078,1879,1836,3.45762711864407,24
Floriano Peixoto,4308250,20283,19237,3.55845357010729,385
Fontoura Xavier,4308300,12592,12087,3.10002564760195,69
Formigueiro,4308409,25644,23765,2.77466433158202,129
Forquetinha,4308433,710,672,3.79661016949153,46
Fortaleza dos Valos,4308458,130377,123673,3.73487754054299,302
Frederico Westphalen,4308508,13796,13557,2.89308578745198,296
Garruchos,4308656,42461,41572,2.81462423832092,110
Gaurama,4308706,28552,27026,3.59818932232725,516
General Câmara,4308805,17289,16211,3.15389105058366,36
Gentil,4308854,30921,28340,3.79029022335161,184
Getúlio Vargas,4308904,62544,58569,3.83154520476253,546
Giruá,4309001,196484,193933,3.46748556205189,1225
Glorinha,4309050,4219,3891,3.17892156862745,16
Gramado Xavier,4309159,7685,7746,3.08114558472554,14
Gramado dos Loureiros,4309126,18101,17647,3.47861226098955,215
Guabiju,4309258,17636,16725,3.7399373881932,147
Guaporé,4309407,11915,11555,3.72862213617296,160
Guarani das Missões,4309506,34959,36136,2.94963676434577,703
Guaíba,4309308,1118,921,2.70882352941176,3
Herval,4307104,38885,36956,3.07735864768091,46
Herveiras,4309571,331,336,3.36,3
Horizontina,4309605,24674,25126,2.9504462188821,436
Hulha Negra,4309654,44733,42173,2.88145668215359,226
Humaitá,4309704,19417,19553,3.27685604156192,301
Ibarama,4309753,2037,1908,3.36507936507936,42
Ibiaçá,4309803,87691,83008,3.68924444444444,545
Ibiraiaras,4309902,45374,43354,3.81301671064204,416
Ibirapuitã,4309951,57387,56713,3.36535722762877,352
Ibirubá,4310009,144794,138117,3.70873499637496,1005
